헤드라인,URL,작성시간,언론사,기자명,댓글수,공감_유익해요,공감_감동받았어요,공감_분석탁월해요,공감_놀랍네요,공감_추천해요
"리센느 다음은 이펙스? 백승, 187㎝ 팔척 갸루오 변신 “심하게 잘생겨”",https://m.entertain.naver.com/article/609/0001149221,2026-07-23 14:17:11,뉴스엔,하지원,0,0,0,0,0,0
"“아시안게임 야~호!” 리센느, MBC 아시안게임 방송 홍보대사 발탁",https://m.entertain.naver.com/article/410/0001133674,2026-07-23 14:04:19,MK스포츠,금빛나 MK스포츠,0,0,0,0,0,0
"윤경호, &#x27;김과장&#x27; 13시간 묵언수행 中 위기..라디오서 입 터져 &#x27;7번 경고&#x27; 20분 추가 [종합]",https://m.entertain.naver.com/article/108/0003455236,2026-07-23 11:36:46,스타뉴스,한해선 기자,0,0,0,0,0,0
"리센느, MBC 2026 아시안게임 방송 홍보대사 발탁",https://m.entertain.naver.com/article/629/0000518330,2026-07-23 10:47:09,더팩트,,0,0,0,0,0,0
"리센느, MBC 아시안게임 방송 홍보대사 위촉 &quot;기쁘고 영광&quot;",https://m.entertain.naver.com/article/477/0000619771,2026-07-23 10:27:13,스포티비뉴스,정혜원,0,0,0,0,0,0
"&#x27;사투리 논란&#x27; 리센느, 매니저 진심에 치킨 먹다 오열…&quot;우린 진짜 가족&quot; [RE:뷰]",https://m.entertain.naver.com/article/213/0001395235,2026-07-23 10:20:07,TV리포트,,0,0,0,0,0,0
"‘오겜’ 이정재X황동혁, 정호연 지원사격 “‘호프’ 야호”",https://m.entertain.naver.com/article/112/0003802260,2026-07-23 10:08:18,헤럴드뮤즈,이미지,0,0,0,0,0,0
"리센느, MBC 손 또 잡았다…2026 아시안게임 홍보대사 발탁",https://m.entertain.naver.com/article/117/0004087630,2026-07-23 09:51:08,마이데일리,김하영,0,0,0,0,0,0
"리센느, MBC와 야~호! &#x27;2026 아이치-나고야 아시안게임&#x27; 홍보대사 발탁 [공식]",https://m.entertain.naver.com/article/108/0003455196,2026-07-23 09:43:31,스타뉴스,한해선 기자,0,0,0,0,0,0
"&#x27;대세&#x27; 리센느, 아시안게임 응원 나선다…MBC 방송 홍보대사 위촉",https://m.entertain.naver.com/article/408/0000315763,2026-07-23 09:29:08,MBC연예,"유정민, 사진출처 MBC",0,0,0,0,0,0
"리센느, 아시안게임 응원 나선다…MBC 방송 홍보대사 위촉",https://m.entertain.naver.com/article/445/0000441060,2026-07-23 09:13:12,MHN스포츠,윤우규,0,0,0,0,0,0
리센느 단체 눈물…이런 매니저가 어딨어 &quot;과거 휴무날에도 과일 싸오고 음식 재료도 사와&quot; 가족같은 진심 (전참시 미방분),https://m.entertain.naver.com/article/311/0002036733,2026-07-23 08:54:15,엑스포츠뉴스,이예진 기자,0,0,0,0,0,0
"리센느 제나, &#x27;똥 밟았네&#x27; 영상 확산에…&quot;제발 그만 떴으면&quot; [RE:뷰]",https://m.entertain.naver.com/article/213/0001395221,2026-07-23 08:31:07,TV리포트,,0,0,0,0,0,0
"&#x27;前 충주맨&#x27; 김선태, 유튜버→이번엔 지상파 단독 &#x27;MC&#x27; 도전…본격 활동 시작 (&#x27;돈선태&#x27;)",https://m.entertain.naver.com/article/445/0000441052,2026-07-23 08:31:09,MHN스포츠,정효경,0,0,0,0,0,0
리센느 원이·미나미가 풀어낸 태연표 ‘만찬가’ [MV 리플레이 ㊺],https://m.entertain.naver.com/article/119/0003113967,2026-07-23 08:27:08,데일리안,전지원 기자,0,0,0,0,0,0
리센느 메이-리브 &#x27;메트와 리트가 선보이는 아웃송&#x27;[엑&#x27;s 숏폼],https://m.sports.naver.com/kbaseball/article/311/0002036710,2026-07-23 07:12:12,엑스포츠뉴스,김한준 기자,0,0,0,0,0,0
"여기가 야구장인가, 수영장인가…KT 올해도 워터페스티벌 실시, 걸그룹 리센느 시구-시타로 화려한 출발",https://m.sports.naver.com/kbaseball/article/477/0000619745,2026-07-23 06:30:13,스포티비뉴스,윤욱재,0,0,0,0,0,0
"&#x27;대머리센느&#x27; 정일영 교수, 리센느 앨범 20장 플렉스 &quot;컴맹인데 직접 구매&quot;",https://m.entertain.naver.com/article/076/0004428163,2026-07-23 06:12:21,스포츠조선,,0,0,0,0,0,0
[주간 축제] “영주 야호~!” 리센느부터 이찬원까지… 시원나잇페스타 31일 개막,https://n.news.naver.com/mnews/article/366/0001181116?sid=102,2026-07-23 06:01:25,조선비즈,,22,477,0,0,7,0
[양성희의 문화참견] 음원 사전검열 논란 법안은 철회됐지만…,https://n.news.naver.com/mnews/article/025/0003539483?sid=110,2026-07-23 00:14:00,중앙일보,,3,0,1,0,0,0
"&quot;리센느 저점매수 실패했다고 욕먹어&quot;…김영광, 소속사 대표와 나눈 문자 공개(라스)",https://m.entertain.naver.com/article/445/0000441031,2026-07-22 23:20:12,MHN스포츠,박선하,0,0,0,0,0,0
캐리비안베이서 K팝 스타들 공연,https://n.news.naver.com/mnews/article/022/0004145152?sid=101,2026-07-22 23:16:14,세계일보,,0,0,0,0,0,0
"김영광, 리센느 저점매수 실패‥대표에 협업 제안받았는데 못 했다(라스)",https://m.entertain.naver.com/article/609/0001148946,2026-07-22 23:10:13,뉴스엔,서유나,0,0,0,0,0,0
이선민 &quot;리센느 원이 운전연수 도우며 도로 위 무법자들에 대리 욕설&quot; (&#x27;한블리&#x27;),https://m.entertain.naver.com/article/213/0001395201,2026-07-22 21:35:10,TV리포트,,0,0,0,0,0,0
"정일영 교수, 리센느 위해 앨범 20장 구매… 완벽한 ‘대머리센느’ 케미",https://m.entertain.naver.com/article/144/0001127559,2026-07-22 21:00:08,스포츠경향,이슬기 기자,0,0,0,0,0,0
"기안84, 리센느 향한 진심의 한마디 “슬로우 스타터가 오래 간다”",https://m.entertain.naver.com/article/468/0001255308,2026-07-22 19:23:10,스포츠서울,표권향 기자,0,0,0,0,0,0
"하이원리조트, 모기 없는 여름 피서지로 각광",https://n.news.naver.com/mnews/article/002/0002449301?sid=102,2026-07-22 18:37:09,프레시안,,0,1,0,0,0,0
[포토] 캐리비안 베이 ‘워터 뮤직 풀파티’ &#65279;,https://n.news.naver.com/mnews/article/015/0005312737?sid=101,2026-07-22 18:14:16,한국경제,,0,0,0,0,0,0
"승격팀 부천의 안방, &#x27;유명 여자 아이돌&#x27; 프로미스나인 신곡 뮤비에 깜짝 등장한 사연",https://m.sports.naver.com/kfootball/article/436/0000111620,2026-07-22 18:04:17,풋볼리스트,김진혁 기자,0,0,0,0,0,0
"UDTT, 5세대 대세 행보…7월 지상파 3사 음방 출연횟수 1위",https://m.entertain.naver.com/article/477/0000619643,2026-07-22 17:01:08,스포티비뉴스,김원겸,0,0,0,0,0,0
KT 위즈파크가 워터파크로…‘워터 페스티벌’ 화려한 개막,https://m.sports.naver.com/kbaseball/article/666/0000116200,2026-07-22 16:55:07,경기일보,임창만 기자,0,0,0,0,0,0
"행정안전부, '거제 야호' 리센느 등 섬의 날 홍보대사 위촉",https://n.news.naver.com/mnews/article/057/0001959826?sid=102,2026-07-22 16:35:08,MBN,,1,2,0,0,0,0
"“BTS 블랙핑크 트와이스 만들어줄게”…리센느 미나미, 소속사 대표 폭로(살롱드립)",https://m.entertain.naver.com/article/609/0001148816,2026-07-22 16:32:15,뉴스엔,강민경,0,0,0,0,0,0
"UDTT, 지상파 음악방송 7회 출연→출연 지수 &#x27;1위&#x27;…방송가 입지 입증",https://m.entertain.naver.com/article/445/0000440970,2026-07-22 16:24:09,MHN스포츠,윤우규,0,0,0,0,0,0
캐릭터부터 보드게임까지…콘텐츠 IP 축제 4만 명 몰렸다,https://n.news.naver.com/mnews/article/079/0004170975?sid=102,2026-07-22 16:23:10,노컷뉴스,,0,0,0,0,0,0
"리센느부터 아이브까지…캐리비안베이, K팝과 함께하는 여름 풀파티",https://n.news.naver.com/mnews/article/014/0005551462?sid=103,2026-07-22 16:19:15,파이낸셜뉴스,,1,1,0,0,1,1
"물대포 25대에 미니 콘서트까지… 마법사들, 한 달간 ‘워터 페스티벌’로 위팍 달군다",https://m.sports.naver.com/kbaseball/article/396/0000750371,2026-07-22 16:03:13,스포츠월드,김종원 기자,0,0,0,0,0,0
"신라 공주들의 만남…선미 “‘경주 출신’ 리센느 제나와 챌린지, 너무 예뻐”(컬투쇼)",https://m.entertain.naver.com/article/609/0001148804,2026-07-22 16:03:17,뉴스엔,강민경,0,0,0,0,0,0
"야구장의 변신은 무죄! ‘효린·YB·청하 출격’ KT, 워터 페스티벌 개막…“특별한 여름밤 추억 만들었다”",https://m.sports.naver.com/kbaseball/article/468/0001255250,2026-07-22 15:51:12,스포츠서울,이소영 기자,0,0,0,0,0,0
"UDTT, 음방 출연 횟수 1위 찍었다",https://m.entertain.naver.com/article/144/0001127473,2026-07-22 15:40:07,스포츠경향,안병길 기자,0,0,0,0,0,0
여수서 열리는 ‘제7회 섬의 날’ 홍보 본격화,https://n.news.naver.com/mnews/article/081/0003663533?sid=100,2026-07-22 15:37:18,서울신문,,1,7,0,0,0,0
리센느 하이원 찾아,https://n.news.naver.com/mnews/article/108/0003454885?sid=004,2026-07-22 15:18:21,스타뉴스,,0,0,0,0,0,0
신라 할매 아닙니다‥리센느 제나 ‘똥 밟았네’ 기습 파묘 심경 “제발 그만”,https://m.entertain.naver.com/article/609/0001148773,2026-07-22 15:14:19,뉴스엔,하지원,0,0,0,0,0,0
"기안84, 리센느와 깜짝 인연…고교 후배 향한 훈훈한 격려 (인생84)",https://m.entertain.naver.com/article/144/0001127460,2026-07-22 14:44:12,스포츠경향,김감미 기자,0,0,0,0,0,0
리센느 제나 &#x27;똥 밟았네&#x27; 영상 역주행…&quot;부끄럽지 않아&quot;,https://m.entertain.naver.com/article/003/0014081260,2026-07-22 13:59:34,뉴시스,전재경,0,0,0,0,0,0
'거제 야호'…천안서 버스 타고 거제 간다,https://n.news.naver.com/mnews/article/421/0009072753?sid=102,2026-07-22 13:55:06,뉴스1,,1,0,0,0,0,0
"캐릭터 라이선싱 페어 2026, 4만명 방문…비즈매칭 1208건·367억 성과",https://n.news.naver.com/mnews/article/030/0003449801?sid=105,2026-07-22 13:33:14,전자신문,,0,1,0,0,0,0
리센느 메이 ‘소장해야하는 애교’[엑&#x27;s HD포토],https://m.sports.naver.com/kbaseball/article/311/0002036406,2026-07-22 13:13:22,엑스포츠뉴스,김한준 기자,0,0,0,0,0,0
리센느 메이 ‘리마인 안녕’[엑&#x27;s HD포토],https://m.sports.naver.com/kbaseball/article/311/0002036407,2026-07-22 13:13:24,엑스포츠뉴스,김한준 기자,0,0,0,0,0,0
리센느 메이 ‘팬들과 아이컨택’[엑&#x27;s HD포토],https://m.sports.naver.com/kbaseball/article/311/0002036405,2026-07-22 13:13:20,엑스포츠뉴스,김한준 기자,0,0,0,0,0,0
리센느 메이 ‘아웃송 따봉!’[엑&#x27;s HD포토],https://m.sports.naver.com/kbaseball/article/311/0002036409,2026-07-22 13:13:28,엑스포츠뉴스,김한준 기자,0,0,0,0,0,0
"&#x27;대세&#x27; 리센느가 포문 열었다…KT, 더 시원해진 &#x27;2026 워터 페스티벌&#x27; 개막",https://m.sports.naver.com/kbaseball/article/109/0005575762,2026-07-22 13:10:12,OSEN,조은혜,0,0,0,0,0,0
천안도 &quot;거제야호&quot;…천안-거제 노선 신설,https://n.news.naver.com/mnews/article/656/0000182105?sid=102,2026-07-22 13:10:10,대전일보,,0,0,0,0,0,1
"&quot;리센느도 반했다&quot;…155개국에 공개된 정선 하이원, 올여름 '국민 여행 루트' 뜬다",https://n.news.naver.com/mnews/article/586/0000134255?sid=102,2026-07-22 12:35:10,시사저널,,0,0,0,0,0,0
“K-콘텐츠 IP 경쟁력 알렸다”…‘캐릭터 라이선싱 페어 2026’ 성료,https://n.news.naver.com/mnews/article/016/0002673448?sid=103,2026-07-22 12:32:09,헤럴드경제,,0,0,0,0,0,0
‘당당한 대세’ 리센느까지…캐리비안 베이 ‘워터 뮤직 풀파티’ 개최,https://n.news.naver.com/mnews/article/016/0002673447?sid=103,2026-07-22 12:29:13,헤럴드경제,,0,0,0,0,0,0
"리센느, 1위 찍기 전엔 초등학교 운동회 행사까지…&quot;주민센터서 &#x27;사랑의 배터리&#x27;도 불러&quot; (인생84)[종합]",https://m.entertain.naver.com/article/311/0002036380,2026-07-22 12:26:19,엑스포츠뉴스,이예진 기자,0,0,0,0,0,0
"리센느 원이, &#x27;역주행&#x27; 대박→첫 정산 얘기에 &#x27;울컥&#x27;…&quot;母 소고기 사주고파&quot; [RE:뷰]",https://m.entertain.naver.com/article/213/0001395124,2026-07-22 12:16:10,TV리포트,,0,0,0,0,0,0
리센느 전에 EXID 있었다‥하니 “‘위아래’ 역주행에 세상이 달라져” (라디오쇼),https://m.entertain.naver.com/article/609/0001148666,2026-07-22 12:08:22,뉴스엔,하지원,0,0,0,0,0,0
&#x27;하시5&#x27; 박우열♥강유경 &quot;좋아해&quot; 최종선택→현커 근황 공개 &#x27;해피엔딩&#x27; [N이슈],https://m.entertain.naver.com/article/421/0009072528,2026-07-22 12:07:47,뉴스1,윤효정 기자,0,0,0,0,0,0
리센느부터 YB·청하·효린·백아연·빌리·QWER·황재균까지 출동...KT 위즈 &#x27;2026 워터 페스티벌&#x27;,https://m.sports.naver.com/kbaseball/article/529/0000077940,2026-07-22 11:44:23,더게이트,서예진 기자,0,0,0,0,0,0
"[강일홍의 오늘연예] 장윤정 모친 체포 구속 송치, &#x27;반복된 사기 의혹&#x27;",https://m.entertain.naver.com/article/629/0000517989,2026-07-22 11:34:09,더팩트,,0,0,0,0,0,0
"‘신라 공주’ 리센느 제나, ‘똥 밟았네’ 영상 확산에 “제발 그만”",https://m.entertain.naver.com/article/144/0001127429,2026-07-22 11:34:17,스포츠경향,김원희 기자,0,0,0,0,0,0
캐리비안 베이 파도풀서 K팝 ‘워터뮤직 풀파티’,https://n.news.naver.com/mnews/article/016/0002673371?sid=101,2026-07-22 11:33:17,헤럴드경제,,0,0,0,0,0,0
"효린 &quot;가수 겸 대표, 여성 가수들 모으고파…다영 대견해&quot; [N인터뷰]②",https://n.news.naver.com/mnews/article/421/0009072388?sid=102,2026-07-22 11:30:01,뉴스1,,0,0,3,0,0,0
"캐리비안 베이 ‘뮤직 풀파티’, 리센느·NCT WISH 뜬다",https://n.news.naver.com/mnews/article/029/0003038245?sid=101,2026-07-22 11:28:31,디지털타임스,,0,0,0,0,0,0
"&#x27;워터 캐논만 25대&#x27; 역대 최고 규모! KT, 2026 워터 페스티벌 실시…주말에는 &#x27;위즈 라이브&#x27; 공연까지",https://m.sports.naver.com/kbaseball/article/117/0004087245,2026-07-22 11:20:10,마이데일리,김경현,0,0,0,0,0,0
"리센느 원이, 지민·박지훈 누르고 1위…아이돌 개인 브랜드평판 새 강자",https://m.entertain.naver.com/article/445/0000440767,2026-07-22 11:18:13,MHN스포츠,윤우규,0,0,0,0,0,0
"'캐릭터 라이선싱 페어 2026' 성료…367억원 규모 1208건 상담, 4만900명 관람",https://n.news.naver.com/mnews/article/421/0009072329?sid=103,2026-07-22 11:11:05,뉴스1,,0,0,0,0,0,0
"'리센느 &quot;야호&quot; 들으러 가자'..캐리비안 베이, 워터 뮤직 풀파티 개최",https://n.news.naver.com/mnews/article/108/0003454844?sid=004,2026-07-22 11:08:21,스타뉴스,,0,0,0,0,0,0
"대세 리센느 원이 “내 꿈은 슈퍼스타, 그리고 세계정복” (인생84)",https://m.entertain.naver.com/article/144/0001127423,2026-07-22 10:59:13,스포츠경향,하경헌 기자,0,0,0,0,0,0
블랙핑크 만들어준다고…리센느 미나미 “대표님 말에 속았다”,https://m.entertain.naver.com/article/022/0004144964,2026-07-22 10:54:08,세계일보,최승우 온라인 뉴스 기자,0,0,0,0,0,0
&#x27;원조답게 올해는 더 즐겁게&#x27; 한여름밤 물대포 &#x27;KT 워터 페스티벌&#x27; 막 올랐다,https://m.sports.naver.com/kbaseball/article/108/0003454842,2026-07-22 10:52:08,스타뉴스,신화섭 기자,0,0,0,0,0,0
"캐리비안 베이, 파도 타고 NCT WISH·리센느 온다",https://n.news.naver.com/mnews/article/382/0001284423?sid=103,2026-07-22 10:44:13,스포츠동아,,0,0,0,0,0,0
"“내 후배 잘하고” 기안84, 알고 보니 리센느 멤버와 ‘동문’…인지도 고민에 위로 건넸다 (‘인생84’)",https://m.entertain.naver.com/article/112/0003802135,2026-07-22 10:44:22,헤럴드뮤즈,김민지,0,0,0,0,0,0
"캐리비안 베이, K팝 스타 릴레이 공연…워터 뮤직 풀파티 개최",https://n.news.naver.com/mnews/article/030/0003449724?sid=101,2026-07-22 10:42:14,전자신문,,0,1,0,0,0,0
"리센느 원이, 기안84처럼 슈퍼스타 되나? “요즘 행복, 꿈은 세계 정복”(인생84)",https://m.entertain.naver.com/article/609/0001148632,2026-07-22 10:34:17,뉴스엔,강민경,0,0,0,0,0,0
"워터파크로 변신한 수원 야구장...KT, ‘워터 페스티벌’ 개막",https://m.sports.naver.com/kbaseball/article/018/0006334529,2026-07-22 10:33:11,이데일리,,0,0,0,0,0,0
14개월 아이 차에 깔렸는데 ‥운전자 사과도 형사처벌도 無(한블리),https://m.entertain.naver.com/article/609/0001148630,2026-07-22 10:30:09,뉴스엔,박아름,0,0,0,0,0,0
&quot;거제 야호&quot; 리센느 등 홍보대사 위촉…여수서 8월 6일 '섬의 날' 개막,https://n.news.naver.com/mnews/article/057/0001959733?sid=102,2026-07-22 10:25:07,MBN,,1,1,0,0,0,0
"“캐비 야~호!”…‘역주행 대세’ 리센느, 26일 캐리비안 베이 풀파티 뜬다",https://m.entertain.naver.com/article/468/0001255145,2026-07-22 10:21:09,스포츠서울,원성윤 기자,0,0,0,0,0,0
&quot;이번 주 캐리비안 베이에 요즘 대세 '리센느' 뜬다&quot;,https://n.news.naver.com/mnews/article/079/0004170716?sid=101,2026-07-22 10:20:08,노컷뉴스,,1,1,5,0,1,0
"캐리비안 베이, ‘워터 뮤직 풀파티’ 개막…리센느·아이브 등 K팝 스타 총출동",https://n.news.naver.com/mnews/article/277/0005792938?sid=101,2026-07-22 10:19:29,아시아경제,,0,0,0,0,0,0
리센느 “일 없었던 적 없어…운동회→주민 센터 행사까지 크기 중요 NO”(인생84),https://m.entertain.naver.com/article/609/0001148623,2026-07-22 10:07:14,뉴스엔,강민경,0,0,0,0,0,0
리센느 미나미 &quot;대표님이 블랙핑크 만들어준댔는데&quot;..원이는 &#x27;눈물&#x27; [살롱드립],https://m.entertain.naver.com/article/108/0003454829,2026-07-22 10:05:30,스타뉴스,한해선 기자,0,0,0,0,0,0
4만명 몰린 국내 최대 캐릭터 행사…367억 성과 냈다,https://n.news.naver.com/mnews/article/008/0005389084?sid=103,2026-07-22 10:03:26,머니투데이,,0,0,1,0,0,0
억까에 또 멍든 장원영→‘거제 야호’ 리센느 기적…스타투데이 ‘SHINING’ 33호 발행,https://m.entertain.naver.com/article/009/0005710490,2026-07-22 10:01:07,매일경제,김소연 스타투데이,0,0,0,0,0,0
14개월 아이까지 차에 깔렸는데…&quot;가해자 처벌대상 아냐&quot; 패널 분노 (한블리),https://m.entertain.naver.com/article/311/0002036318,2026-07-22 10:00:11,엑스포츠뉴스,이창규 기자,0,0,0,0,0,0
"캐리비안 베이, K-팝 스타 총출동…여름 '워터 뮤직 풀파티' 개최",https://n.news.naver.com/mnews/article/138/0002234909?sid=101,2026-07-22 09:55:07,디지털데일리,,0,0,0,1,0,0
"리센느, 1위 이유 있었네 &quot;주민센터·초등학교 운동회도 갔다&quot; (인생84)",https://m.entertain.naver.com/article/440/0000037994,2026-07-22 09:53:07,티브이데일리,한서율 기자,0,0,0,0,0,0
"리센느 원이, 기안84에 &quot;꼰대시다&quot; 돌직구…폭풍 잔소리에 &#x27;질색&#x27; (인생84)",https://m.entertain.naver.com/article/311/0002036317,2026-07-22 09:47:10,엑스포츠뉴스,명희숙 기자,0,0,0,0,0,0
"기안84 후배 리센느 리브, 낮은 인지도 초조…“지금은 조금 알아봐 줘”(인생84)",https://m.entertain.naver.com/article/609/0001148614,2026-07-22 09:44:17,뉴스엔,강민경,0,0,0,0,0,0
‘최우수산’ 생고생 해도 ‘1박2일’ ‘런닝맨’ 벽이 높은데..초심 되찾고 ‘무한도전’처럼 거듭나길 [IS포커스],https://m.entertain.naver.com/article/241/0003521141,2026-07-22 09:44:17,일간스포츠,,0,0,0,0,0,0
"리센느 제나, &#x27;똥 밟았네&#x27; 영상 대확산에 진땀…&quot;이렇게 퍼질 줄 몰랐다, 난 괜찮은데 제발 그만&quot; [엑&#x27;s 이슈]",https://m.entertain.naver.com/article/311/0002036315,2026-07-22 09:43:10,엑스포츠뉴스,이예진 기자,0,0,0,0,0,0
리센느·NCT위시 출격…캐리비안 베이 파도풀서 K팝 공연 열린다,https://n.news.naver.com/mnews/article/016/0002673215?sid=101,2026-07-22 09:39:10,헤럴드경제,,0,0,0,0,0,0
"BTS·스트레이 키즈→코르티스, &#x27;TMA 베스트 뮤직 – 여름&#x27; 결선 투표 시작",https://m.entertain.naver.com/article/629/0000517892,2026-07-22 09:35:11,더팩트,,0,0,0,0,0,0
&quot;거제 야호&quot; 리센느 등 홍보대사 위촉…여수서 8월 6일 '섬의 날' 개막,https://n.news.naver.com/mnews/article/057/0001959717?sid=102,2026-07-22 09:31:07,MBN,,0,0,0,0,0,0
14개월 아이 차량에 깔렸는데…가해자는 형사처벌 안 받는다(‘한블리’),https://m.entertain.naver.com/article/009/0005710467,2026-07-22 09:18:15,매일경제,한현정 스타투데이,0,0,0,0,0,0
&#x27;거제소녀&#x27; 원이 &quot;엄마께 소고기 한 번 사드리고 싶어&quot;,https://m.entertain.naver.com/article/003/0014080074,2026-07-22 09:17:24,뉴시스,남정현,0,0,0,0,0,0
"리센느 원이, 첫 정산 꿈은 “엄마에게 소고기”...눈물 글썽",https://m.entertain.naver.com/article/144/0001127393,2026-07-22 09:16:12,스포츠경향,김감미 기자,0,0,0,0,0,0
"캐리비안 베이, NCT 위시·리센느 뜬다…여름 풀파티 라인업 공개",https://n.news.naver.com/mnews/article/008/0005389034?sid=103,2026-07-22 09:15:32,머니투데이,,0,0,0,0,1,0
30개월·14개월 아이 덮친 차량..엄마의 절규에도 가해자는 변명만 [한블리],https://m.entertain.naver.com/article/108/0003454819,2026-07-22 09:12:23,스타뉴스,윤성열 기자,0,0,0,0,0,0
"“블랙핑크 만들어준대서”…리센느 원이·미나미, 데뷔 비하인드(‘살롱드립’)",https://m.entertain.naver.com/article/009/0005710455,2026-07-22 09:09:07,매일경제,김소연 스타투데이,0,0,0,0,0,0
"기안84 &quot;내 후배, 잘하고 있다&quot;…리센느 리브와 숙지고 동문 (인생84) ",https://m.entertain.naver.com/article/311/0002036306,2026-07-22 09:09:10,엑스포츠뉴스,명희숙 기자,0,0,0,0,0,0
"&#x27;한블리&#x27; 14개월 아이 덮친 차량, &quot;차 빼!&quot; 엄마의 절규…가해자 형사처벌 안 받는다",https://m.entertain.naver.com/article/437/0000502412,2026-07-22 09:07:24,JTBC,,0,0,0,0,0,0
리센느 리브 &#x27;내 고향 수원에서 시구 야호!&#x27;[엑&#x27;s 숏폼],https://m.sports.naver.com/kbaseball/article/311/0002036303,2026-07-22 09:00:11,엑스포츠뉴스,김한준 기자,0,0,0,0,0,0
[MD트렌드] ‘야호’ 한마디에 4일 만에 1700만뷰…유통가가 ‘리센느’ 찾는 이유,https://n.news.naver.com/mnews/article/117/0004087200?sid=103,2026-07-22 08:58:07,마이데일리,,1,0,2,0,0,0
"정신나간 승객, 달리는 택시 안에서 기사 머리채 잡고 흔들어 (한블리)",https://m.entertain.naver.com/article/382/0001284383,2026-07-22 08:56:12,스포츠동아,홍세영 기자,0,0,0,0,0,0
14개월 덮친 차량…한문철 &quot;엄마 잘못 아냐&quot; [한블리],https://m.entertain.naver.com/article/117/0004087199,2026-07-22 08:54:07,마이데일리,김지우,0,0,0,0,0,0
"캐리비안 베이, 리센느·NCT WISH 뜬다",https://m.entertain.naver.com/article/001/0016207231,2026-07-22 08:43:11,연합뉴스,,0,0,0,0,0,0
"캐리비안 베이, 리센느·NCT WISH 뜬다",https://m.entertain.naver.com/article/001/0016207232,2026-07-22 08:43:13,연합뉴스,,0,0,0,0,0,0
“콘텐츠 IP 확장의 장”…4만 명 방문한 ‘캐릭터 라이선싱 페어’,https://m.entertain.naver.com/article/021/0002806131,2026-07-22 08:32:14,문화일보,안진용,0,0,0,0,0,0
"‘충주맨’ 김선태, 리센느 만난다…“유튜브 대세들의 만남”",https://m.entertain.naver.com/article/468/0001255106,2026-07-22 08:15:11,스포츠서울,김도형 기자,0,0,0,0,0,0
"효린 &quot;리센느, 스타쉽 시절 씨스타 떠올라…다영은 첫 솔로 때 나&quot; [MD인터뷰①]",https://m.entertain.naver.com/article/117/0004087180,2026-07-22 07:30:06,마이데일리,김하영,0,0,0,0,0,0
[인터뷰②] 효린이 ‘찜’한 차세대 ‘서머퀸’…“리센느·다영 열정 대견해”,https://m.entertain.naver.com/article/009/0005710423,2026-07-22 07:01:08,매일경제,이다겸 스타투데이,0,0,0,0,0,0
리센느 &quot;운동회·주민센터 무대도 섰는데..요즘은 매일 스케줄&quot;[인생84],https://m.entertain.naver.com/article/108/0003454788,2026-07-22 06:29:00,스타뉴스,김나연 기자,0,0,0,0,0,0
"리센느, 섬의 날 홍보대사부터 야구장 시구·시타 요정까지 바쁜 스케줄 소화하며 ‘5세대 걸그룹 대세 입증’  [포토엔HD 화보]",https://m.entertain.naver.com/article/609/0001148529,2026-07-22 06:29:15,뉴스엔,유용주,0,0,0,0,0,0
